pubkey,totalproposalscreated,communitypropcreatorpassed,depositedvotes,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesfor,totalcouncilvotesagainst,rewards,alltimerewards
ihvogWuVwPqMtNp3i1DMQ1PiaBruahZxvbVC7S94bVQ,0,0,0,0,4,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
7KrTkLQx6gSbYctgxFM4z4aNeNEXPmSVMhKWzRD7otVv,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1750
2iwXAgFi7z1VVzudXT8r3qHVH9xaJKXr2Pi5kThMpdgm,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,41292.500002
6xKDBhQwYpkHet8bPrucPoDHjn135DZwynDyKVQz2A6m,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,270
AXXRH6NVXjUNxi6GvVWV4Pp6q7k9xkqeqHhRx8sW41TX,0,0,35377,0,18305,null,null,0,0,0,0,0,0,0,0,0,0,0,0,9963
DswUZNJb4HHCYodkwtb3UHkKtLQu95uEapDnQF9sMuEr,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,9275
7FaDRP2acjvWCntY3At1GJ2RdqJttqCLQXJU6qpJzAg7,0,0,1556,0,17440,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1465
8NLRhKiZ6imTuT7yG2GKAGYZCKsJX1R7SwPh6tPFRuTR,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
3VeqFy27atzbwhXWu9aa5hc3e5N1yC6sCgRQrivRGjEa,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,10360
21VN2b3spuPxXqoHK95fZo3KujtCQfg6rotgYZY4P72F,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1100
99NHcwD1iaf5FXM3UNb91SjNiiT3HwyQFQMhkGd5ASts,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
727MvuZATPGnd83H87a2MCubzv2DniHnertC4jxKFeDX,0,0,0,0,112117,null,null,0,0,0,0,0,0,0,0,0,0,0,0,7390
6VHKRsV67Hx6zUWdQs8FVNFW7Qb2SBsEd6jqMRD5UVGf,0,0,5752,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,2105
govvJmmaiTEiXfHuALVXq6WbkyY1KZpZo5DCuMyY1mi,0,0,0,0,1,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
EbVdTBGv5poB8ovWLnDAduh3w7bQMppZjsEaT6KhxAmB,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,59172.49999999999
Krw1qTDKuu7AKdCZBz4FRhBj6136yKD2YkrnUUuG9XU,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,20548.1875
DrEDgXWTBfZbbVNT2ZdvxA5DUZx8CLTteGnsSJaXtZsK,0,0,85963,0,116280,null,null,0,0,0,0,0,0,0,0,0,0,0,0,15330
GmRC6EhKtBEcKM1bjCBzamWDy3qmP5z2Kc9tYjQuc2Pn,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
3MsmkPefAd1zbtJtsrrR61pFLmXYGxr3d2BK8wt6QYzK,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,55
4KyEUeNAdXdkJhnpkdx9VhcvrjYiLmAekmwu2sv5ZzKy,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
